,Bases_sequenced,BamFile,Proportion_Genome_At_10x,primerset
241,1292664086,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999367399,WbD
242,1304945567,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999391063,WbD
243,1317245654,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999429713,WbD
244,1329579264,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999455742,WbD
245,1341931543,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999447855,WbD
246,1354174520,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999394218,WbD
247,1366501160,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999458898,WbD
248,1378816867,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99946363,WbD
249,1391123819,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999462053,WbD
250,1403455312,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999455742,WbD
251,10891,WbDros-Un_S1_L001.Fg_only.bam,0,WbDros-Un_S1_L001.Fg_only.bam
252,11196288,WbDros-Un_S1_L001.Fg_only.bam,0,WbDros-Un_S1_L001.Fg_only.bam
253,22334580,WbDros-Un_S1_L001.Fg_only.bam,0,WbDros-Un_S1_L001.Fg_only.bam
254,33460828,WbDros-Un_S1_L001.Fg_only.bam,0,WbDros-Un_S1_L001.Fg_only.bam
255,44645011,WbDros-Un_S1_L001.Fg_only.bam,0.000108852,WbDros-Un_S1_L001.Fg_only.bam
256,55856884,WbDros-Un_S1_L001.Fg_only.bam,0.000950479,WbDros-Un_S1_L001.Fg_only.bam
257,66957891,WbDros-Un_S1_L001.Fg_only.bam,0.002579308,WbDros-Un_S1_L001.Fg_only.bam
258,78193774,WbDros-Un_S1_L001.Fg_only.bam,0.007014613,WbDros-Un_S1_L001.Fg_only.bam
259,89342795,WbDros-Un_S1_L001.Fg_only.bam,0.01478251,WbDros-Un_S1_L001.Fg_only.bam
260,100490368,WbDros-Un_S1_L001.Fg_only.bam,0.026809026,WbDros-Un_S1_L001.Fg_only.bam
261,111585716,WbDros-Un_S1_L001.Fg_only.bam,0.042321945,WbDros-Un_S1_L001.Fg_only.bam
262,122804874,WbDros-Un_S1_L001.Fg_only.bam,0.065227302,WbDros-Un_S1_L001.Fg_only.bam
263,133996045,WbDros-Un_S1_L001.Fg_only.bam,0.091139486,WbDros-Un_S1_L001.Fg_only.bam
264,145149518,WbDros-Un_S1_L001.Fg_only.bam,0.125679336,WbDros-Un_S1_L001.Fg_only.bam
265,156346054,WbDros-Un_S1_L001.Fg_only.bam,0.162651781,WbDros-Un_S1_L001.Fg_only.bam
266,167490314,WbDros-Un_S1_L001.Fg_only.bam,0.202026847,WbDros-Un_S1_L001.Fg_only.bam
267,178571638,WbDros-Un_S1_L001.Fg_only.bam,0.238261783,WbDros-Un_S1_L001.Fg_only.bam
268,189784573,WbDros-Un_S1_L001.Fg_only.bam,0.281347266,WbDros-Un_S1_L001.Fg_only.bam
269,200963142,WbDros-Un_S1_L001.Fg_only.bam,0.3265451,WbDros-Un_S1_L001.Fg_only.bam
270,212134108,WbDros-Un_S1_L001.Fg_only.bam,0.369780451,WbDros-Un_S1_L001.Fg_only.bam
271,223285359,WbDros-Un_S1_L001.Fg_only.bam,0.405901015,WbDros-Un_S1_L001.Fg_only.bam
272,234458892,WbDros-Un_S1_L001.Fg_only.bam,0.448017877,WbDros-Un_S1_L001.Fg_only.bam
273,245630870,WbDros-Un_S1_L001.Fg_only.bam,0.482371575,WbDros-Un_S1_L001.Fg_only.bam
274,256792517,WbDros-Un_S1_L001.Fg_only.bam,0.521776615,WbDros-Un_S1_L001.Fg_only.bam
275,267948640,WbDros-Un_S1_L001.Fg_only.bam,0.551507278,WbDros-Un_S1_L001.Fg_only.bam
276,279142319,WbDros-Un_S1_L001.Fg_only.bam,0.585291478,WbDros-Un_S1_L001.Fg_only.bam
277,290297469,WbDros-Un_S1_L001.Fg_only.bam,0.613510051,WbDros-Un_S1_L001.Fg_only.bam
278,301465678,WbDros-Un_S1_L001.Fg_only.bam,0.642340718,WbDros-Un_S1_L001.Fg_only.bam
279,312585658,WbDros-Un_S1_L001.Fg_only.bam,0.670034754,WbDros-Un_S1_L001.Fg_only.bam
280,323752110,WbDros-Un_S1_L001.Fg_only.bam,0.69127421,WbDros-Un_S1_L001.Fg_only.bam
281,334941951,WbDros-Un_S1_L001.Fg_only.bam,0.712165025,WbDros-Un_S1_L001.Fg_only.bam
282,346082085,WbDros-Un_S1_L001.Fg_only.bam,0.732289936,WbDros-Un_S1_L001.Fg_only.bam
283,11680,WolbDros-AL-1_S37_L001.Fg_only.bam,0,WolbDros-AL
284,11862680,WolbDros-AL-1_S37_L001.Fg_only.bam,0.00392812,WolbDros-AL
285,23689732,WolbDros-AL-1_S37_L001.Fg_only.bam,0.00584722,WolbDros-AL
286,35565082,WolbDros-AL-1_S37_L001.Fg_only.bam,0.009686208,WolbDros-AL
287,47396845,WolbDros-AL-1_S37_L001.Fg_only.bam,0.01538987,WolbDros-AL
288,59286952,WolbDros-AL-1_S37_L001.Fg_only.bam,0.021595195,WolbDros-AL
289,71075399,WolbDros-AL-1_S37_L001.Fg_only.bam,0.030602264,WolbDros-AL
290,82986474,WolbDros-AL-1_S37_L001.Fg_only.bam,0.041170327,WolbDros-AL
291,94798472,WolbDros-AL-1_S37_L001.Fg_only.bam,0.051878793,WolbDros-AL
292,106687619,WolbDros-AL-1_S37_L001.Fg_only.bam,0.065658765,WolbDros-AL
293,118492916,WolbDros-AL-1_S37_L001.Fg_only.bam,0.078850307,WolbDros-AL
294,130379721,WolbDros-AL-1_S37_L001.Fg_only.bam,0.092045005,WolbDros-AL
295,142216756,WolbDros-AL-1_S37_L001.Fg_only.bam,0.108039868,WolbDros-AL
296,154071915,WolbDros-AL-1_S37_L001.Fg_only.bam,0.125261283,WolbDros-AL
297,165911142,WolbDros-AL-1_S37_L001.Fg_only.bam,0.140826262,WolbDros-AL
298,177755390,WolbDros-AL-1_S37_L001.Fg_only.bam,0.153806412,WolbDros-AL
299,189618991,WolbDros-AL-1_S37_L001.Fg_only.bam,0.170933173,WolbDros-AL
300,12554,WolbDros-AL-2_S38_L001.Fg_only.bam,0.000102541,WolbDros-AL
301,12003324,WolbDros-AL-2_S38_L001.Fg_only.bam,0.00112401,WolbDros-AL
302,24008365,WolbDros-AL-2_S38_L001.Fg_only.bam,0.005760454,WolbDros-AL
303,35980415,WolbDros-AL-2_S38_L001.Fg_only.bam,0.01384544,WolbDros-AL
304,47995710,WolbDros-AL-2_S38_L001.Fg_only.bam,0.023342341,WolbDros-AL
305,59955702,WolbDros-AL-2_S38_L001.Fg_only.bam,0.034419167,WolbDros-AL
306,71953999,WolbDros-AL-2_S38_L001.Fg_only.bam,0.050151367,WolbDros-AL
307,83942759,WolbDros-AL-2_S38_L001.Fg_only.bam,0.065235979,WolbDros-AL
308,95975984,WolbDros-AL-2_S38_L001.Fg_only.bam,0.08266011,WolbDros-AL
309,107944233,WolbDros-AL-2_S38_L001.Fg_only.bam,0.097103445,WolbDros-AL
310,119935853,WolbDros-AL-2_S38_L001.Fg_only.bam,0.115058425,WolbDros-AL
311,131937685,WolbDros-AL-2_S38_L001.Fg_only.bam,0.135113923,WolbDros-AL
312,143934716,WolbDros-AL-2_S38_L001.Fg_only.bam,0.153860837,WolbDros-AL
313,11561,WolbDros-AL-3_S39_L001.Fg_only.bam,0,WolbDros-AL
